"","time","mean_sumsize"
"896",896,24502.4
"897",897,24424
"898",898,24878.3
"899",899,24435.5
"900",900,24736
"901",901,24846.7
"902",902,24347
"903",903,24679.5
"904",904,24358.8
"905",905,24315
"906",906,24509.4
"907",907,24818.5
"908",908,24398.9
"909",909,24419.2
"910",910,24573.5
"911",911,24710.8
"912",912,24636
"913",913,24602
"914",914,24906.7
"915",915,24794.5
"916",916,24555.9
"917",917,24683.4
"918",918,24961.5
"919",919,25128.2
"920",920,24794.1
"921",921,24560.6
"922",922,24681.2
"923",923,24735.9
"924",924,24987.1
"925",925,24665
"926",926,24555.3
"927",927,24481.5
"928",928,24679
"929",929,24281
"930",930,24323.3
"931",931,24729.9
"932",932,24836.1
"933",933,24479.7
"934",934,24680.5
"935",935,24683.1
"936",936,24378.7
"937",937,24856
"938",938,24762.8
"939",939,24238.7
"940",940,23943.4
"941",941,24411.7
"942",942,24258.6
"943",943,24621.9
"944",944,23997.4
"945",945,24315.5
"946",946,24742
"947",947,24547.2
"948",948,24384.6
"949",949,24550
"950",950,24641.1
"951",951,24462.7
"952",952,24324.4
"953",953,24604.2
"954",954,24674.1
"955",955,25076.1
"956",956,24486.7
"957",957,24876.6
"958",958,24551.8
"959",959,24579.4
"960",960,24543.8
"961",961,24789.2
"962",962,25225.1
"963",963,24879.3
"964",964,24672.1
"965",965,24843.8
"966",966,24676.3
"967",967,24527.7
"968",968,24332.2
"969",969,24521.2
"970",970,24721.5
"971",971,24849.2
"972",972,24714.6
"973",973,24801.8
"974",974,24574.9
"975",975,24993.4
"976",976,24785.8
"977",977,24568.3
"978",978,24885.2
"979",979,24684.2
"980",980,24391.8
"981",981,24624.5
"982",982,24512.4
"983",983,24536.8
"984",984,24486
"985",985,24452.4
"986",986,24860.3
"987",987,24445.2
"988",988,24274.7
"989",989,25196.9
"990",990,24649.6
"991",991,24275.5
"992",992,24810
"993",993,24553.4
"994",994,24292
"995",995,24784.3
"996",996,24297
