"","time","mean_MR_mean_summ","mean_MR_sd_summ","mean_maladaptation_time"
"987",987,0.610516684682857,0.268664034003411,0.7
"988",988,0.609799315586783,0.267932126007824,0.8
"989",989,0.608586340481073,0.26798375278223,0.7
"990",990,0.609694989006492,0.267881128640709,0.3
"991",991,0.608423611982017,0.267655825925988,0.8
"992",992,0.609231288361533,0.268605769507143,0.5
"993",993,0.609527769700168,0.268540235422134,0.3
"994",994,0.608731088088103,0.268755227133577,0.5
"995",995,0.608459160315864,0.26978633388661,0.3
"996",996,0.610295686495707,0.26882337018753,0.3
"997",997,0.608339314220936,0.269368224567871,0.6
"998",998,0.610133842147685,0.268421212400448,0.4
"999",999,0.607848643749521,0.268606473119924,0.3
"1000",1000,0.576083823370567,0.272672798403779,0.6
"1001",1001,0.556838294996704,0.274452594787893,0.5
"1002",1002,0.544573389072727,0.277296549560258,0.9
"1003",1003,0.528897028426458,0.277786064711477,0.6
"1004",1004,0.518194247517537,0.278356110110665,0.8
"1005",1005,0.507062100469128,0.278089062710276,0.6
"1006",1006,0.49405008834316,0.278337109200169,0.7
"1007",1007,0.480543069055894,0.278346804207057,0.4
"1008",1008,0.476378534370044,0.279462470700754,0.8
"1009",1009,0.467845140318029,0.279991649234261,0.6
"1010",1010,0.461590973501863,0.282460884261207,0.6
"1011",1011,0.448160410769214,0.281675338568072,0.9
"1012",1012,0.433592625247677,0.280983616635187,0.7
"1013",1013,0.422189204876146,0.276900671900141,0.4
"1014",1014,0.418827581773559,0.281537793030978,0.6
"1015",1015,0.414347582603952,0.27899368726151,0.9
"1016",1016,0.407592980485364,0.276638580746475,0.9
"1017",1017,0.390398910989406,0.276124151501725,0.6
"1018",1018,0.390443429276723,0.27713343390148,0.7
"1019",1019,0.381914613803671,0.273723102726742,0.9
"1020",1020,0.374860447997374,0.274710632967637,0.6
"1021",1021,0.371170802950451,0.272364561851037,0.7
"1022",1022,0.357275312827461,0.27096949665917,0.7
"1023",1023,0.349408907566694,0.269101928649509,0.7
"1024",1024,0.345070078894851,0.268495086063672,0.8
"1025",1025,0.341530662744654,0.270303302857735,0.9
"1026",1026,0.332731870779091,0.264965813562888,0.9
